cust_id,loan,utility,finance,shopping,other
5,0.2,0.4,0.0,0.0,0.4
6,0.0,0.0,0.0,0.0,1.0
7,0.0,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0
15,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0
23,0.0,0.0,0.125,0.0,0.875
24,0.0,0.0,1.0,0.0,0.0
26,0.0,0.0,0.0,0.5,0.5
30,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
33,0.5,0.0,0.5,0.0,0.0
34,0.0,0.0,0.0,1.0,0.0
37,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
49,1.0,0.0,0.0,0.0,0.0
51,0.0,0.0,1.0,0.0,0.0
54,0.0,0.0,0.0,0.0,1.0
57,0.0,0.08333333333333333,0.75,0.16666666666666666,0.0
58,0.0,1.0,0.0,0.0,0.0
59,0.0,0.0,1.0,0.0,0.0
60,0.0,0.0,0.5,0.5,0.0
61,0.0,1.0,0.0,0.0,0.0
71,0.0,0.0,1.0,0.0,0.0
72,0.0,0.0,1.0,0.0,0.0
73,0.2,0.4,0.2,0.0,0.2
74,0.0,0.0,0.6428571428571429,0.35714285714285715,0.0
77,0.0,0.0,0.7391304347826086,0.2608695652173913,0.0
82,0.5,0.0,0.5,0.0,0.0
83,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0
85,0.0,0.0,0.25,0.6666666666666666,0.08333333333333333
86,0.0,0.0,1.0,0.0,0.0
87,0.0,0.0,0.5,0.5,0.0
89,0.04,0.08,0.68,0.2,0.0
91,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
94,0.0,1.0,0.0,0.0,0.0
95,0.0,0.0,1.0,0.0,0.0
97,0.0,0.0,0.14285714285714285,0.09523809523809523,0.7619047619047619
100,0.0,0.0,0.0,0.0,1.0
105,1.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.46153846153846156,0.38461538461538464,0.15384615384615385
109,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,1.0
111,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.0,0.0
116,0.0,0.0,0.0,0.0,1.0
118,0.0,0.5,0.0,0.0,0.5
123,0.0,0.0,0.0,1.0,0.0
127,0.11764705882352941,0.0,0.8235294117647058,0.058823529411764705,0.0
130,0.4,0.4,0.13333333333333333,0.0,0.06666666666666667
131,1.0,0.0,0.0,0.0,0.0
132,0.0,0.8,0.0,0.0,0.2
134,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333
135,0.14285714285714285,0.05714285714285714,0.4857142857142857,0.2857142857142857,0.02857142857142857
141,1.0,0.0,0.0,0.0,0.0
143,1.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.25,0.125,0.625
146,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285
150,0.0,0.0,1.0,0.0,0.0
151,0.0,0.0,0.5,0.0,0.5
152,0.0,0.42857142857142855,0.0,0.5,0.07142857142857142
154,0.4,0.0,0.06666666666666667,0.0,0.5333333333333333
156,0.0,0.0,1.0,0.0,0.0
159,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0
160,0.5,0.0,0.0,0.0,0.5
162,0.125,0.0,0.625,0.25,0.0
164,0.0,0.0,0.0,0.5,0.5
165,0.0,0.75,0.0,0.0,0.25
168,0.5,0.0,0.0,0.0,0.5
170,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
173,0.0,0.0,0.0,1.0,0.0
174,0.5,0.0,0.0,0.0,0.5
180,0.0,0.0,0.75,0.25,0.0
181,1.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.75,0.25,0.0
184,0.5,0.5,0.0,0.0,0.0
185,0.5,0.0,0.5,0.0,0.0
187,0.0,0.0,0.0,1.0,0.0
189,0.0,0.5,0.0,0.0,0.5
190,0.0,0.0,0.0,1.0,0.0
193,0.0,0.75,0.125,0.125,0.0
194,0.037037037037037035,0.18518518518518517,0.7407407407407407,0.0,0.037037037037037035
195,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.6666666666666666
197,1.0,0.0,0.0,0.0,0.0
201,0.5,0.0,0.0,0.0,0.5
203,0.0,0.0,1.0,0.0,0.0
204,0.0,0.0,0.0,0.0,1.0
205,0.5,0.0,0.0,0.0,0.5
206,0.2857142857142857,0.0,0.42857142857142855,0.0,0.2857142857142857
207,0.1111111111111111,0.4444444444444444,0.0,0.0,0.4444444444444444
211,0.0,0.0,1.0,0.0,0.0
213,0.5,0.0,0.5,0.0,0.0
214,0.0,1.0,0.0,0.0,0.0
215,0.0,0.4,0.0,0.4,0.2
216,0.0,0.0,1.0,0.0,0.0
217,0.0,0.6,0.2,0.2,0.0
219,0.0,0.0,0.0,0.0,1.0
220,0.0,0.0,0.5,0.5,0.0
221,0.0,0.0,0.8666666666666667,0.0,0.13333333333333333
223,1.0,0.0,0.0,0.0,0.0
225,0.0,1.0,0.0,0.0,0.0
226,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0
229,0.18181818181818182,0.0,0.18181818181818182,0.36363636363636365,0.2727272727272727
230,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
233,0.0,0.0,0.5,0.5,0.0
234,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
239,0.2,0.6,0.2,0.0,0.0
240,0.0,0.0,1.0,0.0,0.0
242,0.0,0.0,0.0,1.0,0.0
244,0.0,0.5,0.0,0.5,0.0
245,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
248,0.0,0.0,1.0,0.0,0.0
249,0.2,0.7,0.0,0.0,0.1
252,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
257,0.14285714285714285,0.5714285714285714,0.0,0.0,0.2857142857142857
264,0.5,0.0,0.0,0.0,0.5
265,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
268,0.0,1.0,0.0,0.0,0.0
269,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
272,0.05,0.0,0.2,0.35,0.4
274,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
277,0.0,0.25,0.0,0.5,0.25
278,1.0,0.0,0.0,0.0,0.0
279,1.0,0.0,0.0,0.0,0.0
281,0.0,1.0,0.0,0.0,0.0
283,0.0,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285
286,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
290,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855
291,1.0,0.0,0.0,0.0,0.0
292,0.0,0.6,0.0,0.0,0.4
293,0.0,0.0,0.0,0.875,0.125
294,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
296,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0
301,0.0,0.0,1.0,0.0,0.0
302,1.0,0.0,0.0,0.0,0.0
306,0.0,0.4,0.6,0.0,0.0
307,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0
308,0.0,0.0,1.0,0.0,0.0
310,0.0,0.0,0.0,0.0,1.0
311,0.0,0.0,0.0,0.0,1.0
312,0.0,0.4,0.6,0.0,0.0
316,0.0,0.0,0.0,0.0,1.0
317,0.0,1.0,0.0,0.0,0.0
320,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.5833333333333334
322,0.0,0.0,0.5,0.4,0.1
325,0.0,0.5,0.0,0.25,0.25
326,0.0,0.0,0.0,0.0,1.0
328,0.0,0.0,0.4444444444444444,0.3333333333333333,0.2222222222222222
330,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888
331,0.0,1.0,0.0,0.0,0.0
333,1.0,0.0,0.0,0.0,0.0
336,0.2,0.2,0.0,0.0,0.6
338,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
346,1.0,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,1.0,0.0
348,0.03389830508474576,0.05084745762711865,0.8135593220338984,0.01694915254237288,0.0847457627118644
349,0.0,0.0,0.0,1.0,0.0
353,0.16666666666666666,0.125,0.3333333333333333,0.041666666666666664,0.3333333333333333
354,0.0,1.0,0.0,0.0,0.0
355,0.42857142857142855,0.0,0.14285714285714285,0.0,0.42857142857142855
359,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111
360,0.0,0.0,0.4,0.4,0.2
365,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.07142857142857142
368,0.23076923076923078,0.19230769230769232,0.2692307692307692,0.2692307692307692,0.038461538461538464
369,0.0,0.0,0.0,0.0,1.0
370,0.0,1.0,0.0,0.0,0.0
372,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
374,0.5,0.0,0.0,0.5,0.0
376,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
377,0.0,0.125,0.625,0.125,0.125
378,0.0,0.0,1.0,0.0,0.0
379,0.0,0.0,0.2,0.4,0.4
381,0.5,0.0,0.5,0.0,0.0
383,0.0,0.75,0.0,0.25,0.0
384,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222
388,1.0,0.0,0.0,0.0,0.0
390,0.0,0.0,1.0,0.0,0.0
395,0.25,0.0,0.75,0.0,0.0
396,0.0,0.8,0.0,0.2,0.0
398,0.4,0.0,0.6,0.0,0.0
400,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0
401,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0
403,0.0,0.5,0.5,0.0,0.0
405,0.0,0.0,0.0,1.0,0.0
406,1.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,1.0,0.0
409,0.0,0.125,0.0,0.0,0.875
410,0.0,1.0,0.0,0.0,0.0
416,0.0,0.0,1.0,0.0,0.0
