Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
0.0,0.0,Female,high school,married,5.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,3105.13,39.0,2.29,1.0,7.0,6.0,1.0,1.0,33.0,1.0,6.0,38058.0,54942.6,43,Central,Corporate Employee,3165,3165,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Female,Unknown,single,5.0,5.0,2.0,1.0,3.0,1.0,0.0,2.0,13113.25,87.0,3.78,1.0,9.0,29.0,1.0,4.0,58.0,1.0,6.0,57335.58,48889.22,25,Central,Corporate Employee,1054,1054,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32,Central,Student,3846,3846,0.0,0.0,0.4545454545454545,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,bachelor's degree,single,5.0,4.0,7.0,0.0,2.0,2.0,0.0,3.0,301457.44,38.0,2.38,1.0,6.0,8.0,1.0,1.0,30.0,1.0,6.0,30403.0,30036.19,24,Central,Unemployed,23,23,0.0,0.0,0.125,0.0,0.5,0.375,0.0,0.0,0.0,0.0
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27,Central,Student,4110,4110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,master's degree,single,8.0,8.0,3.0,2.0,5.0,2.0,0.0,2.0,957353.6,34.0,2.0,1.0,5.0,8.0,1.0,1.0,26.0,1.0,4.0,563840.32,281714.81,34,Northern,Professional,2575,2575,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,8513.69,56.0,2.43,1.0,7.0,7.0,1.0,2.0,49.0,1.0,5.0,62770.0,63364.34,30,Central,Student,696,696,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0
0.0,1.0,Male,master's degree,married - registered,5.0,5.0,4.0,2.0,5.0,0.0,0.0,4.0,127675.43,75.0,2.59,1.0,7.0,11.0,1.0,2.0,64.0,1.0,5.0,800000.0,712025.31,55,Central,Entrepreneur,2868,2868,0.0,0.125,0.375,0.25,0.0,0.25,0.0,0.0,0.0,0.0
0.0,Unknown,Female,Unknown,single,5.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,9628.3,71.0,2.63,1.0,6.0,16.0,1.0,3.0,55.0,1.0,5.0,25410.49,27098.25,21,Central,Corporate Employee,421,421,0.6818181818181818,0.0,0.1363636363636363,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Unknown,Female,bachelor's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,54,Northeastern,Homemaker,3722,3722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,325.0,80.0,3.2,1.0,7.0,21.0,1.0,3.0,59.0,1.0,5.0,9657.0,9417.63,22,Central,Student,1068,1068,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,high school,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,496.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Northeastern,Freelancer,3112,3112,0.0,0.4814814814814814,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,high school,married - registered,5.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,148.82,25.0,1.79,1.0,4.0,12.0,1.0,2.0,13.0,1.0,2.0,11106.0,11352.92,42,Central,Corporate Employee,3330,3330,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,Female,bachelor's degree,single,5.0,4.0,5.0,0.0,4.0,1.0,0.0,4.0,193181.94,88.0,3.14,1.0,10.0,26.0,1.0,5.0,62.0,1.0,5.0,73775.68,86721.22,54,Central,Corporate Employee,283,283,0.0,0.1428571428571428,0.7142857142857143,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0
0.0,Unknown,Female,others,married - registered,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,33592.22,47.0,2.94,1.0,11.0,32.0,1.0,7.0,15.0,1.0,4.0,70860.0,37615.0,28,Northeastern,Professional,1779,1779,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,10290.07,81.0,3.24,1.0,17.0,23.0,1.0,3.0,58.0,1.0,14.0,55554.17,49893.03,28,Central,Corporate Employee,4320,4320,0.0,0.0,0.4285714285714285,0.3809523809523809,0.0,0.0952380952380952,0.0,0.0952380952380952,0.0,0.0
