epoch,step,min,max,mean,std
1,10000,-0.3494103252887726,0.24302497506141663,0.00017474449123255908,0.01832876168191433
2,20000,-0.19370605051517487,0.16429033875465393,-0.0003049601218663156,0.014230017550289631
3,30000,-0.08783852308988571,0.1381591409444809,0.00012853738735429943,0.008388455957174301
4,40000,-0.07487266510725021,0.09931464493274689,0.00015423414879478514,0.0060811471194028854
5,50000,-0.03475968539714813,0.056650735437870026,8.387300476897508e-05,0.00337822618894279
6,60000,-0.034862078726291656,0.029934043064713478,3.1608942663297057e-07,0.0024248564150184393
7,70000,-0.04342787712812424,0.02593311481177807,-4.6589935664087534e-05,0.0015905241016298532
8,80000,-0.07248874008655548,0.031100070104002953,-5.876982686459087e-05,0.0029181779827922583
9,90000,-0.02278217487037182,0.026056721806526184,3.0366911232704297e-05,0.0020487492438405752
10,100000,-0.037337783724069595,0.05442499741911888,2.6709330995799974e-05,0.002568507334217429
11,110000,-0.02642313577234745,0.026581285521388054,-8.041952241910622e-05,0.0020366732496768236
12,120000,-0.03137980028986931,0.06346075981855392,8.811101724859327e-05,0.0026931059546768665
13,130000,-0.047130100429058075,0.04351477697491646,8.08104687166633e-06,0.0028457720763981342
14,140000,-0.03244788572192192,0.03717038780450821,5.80479136260692e-05,0.002283174078911543
15,150000,-0.07096534967422485,0.057787783443927765,-0.00010470634879311547,0.003370691789314151
16,160000,-0.02527705207467079,0.032799381762742996,1.561332101118751e-05,0.0021227130200713873
17,170000,-0.09410960972309113,0.029346829280257225,-7.006413216004148e-05,0.003177882870659232
18,180000,-0.022069349884986877,0.016169829294085503,1.2155766171417781e-06,0.0012591984122991562
19,190000,-0.03506328538060188,0.06720036268234253,0.00010393034608568996,0.002983439015224576
20,200000,-0.03845789283514023,0.024737022817134857,-3.121041299891658e-05,0.001582316355779767
