epoch,step,min,max,mean,std
1,10000,-0.003105517942458391,0.0030236300081014633,5.775211320724338e-06,0.0009278132347390056
2,20000,-0.004505693446844816,0.003160725813359022,-9.869045607047155e-05,0.0009757576044648886
3,30000,-0.004144629463553429,0.002938170451670885,-4.9269627197645605e-05,0.0009003820596262813
4,40000,-0.004144712351262569,0.0043576424941420555,-1.787025757948868e-05,0.0011059461394324899
5,50000,-0.005089796148240566,0.005100634880363941,-0.00013023195788264275,0.0012223899830132723
6,60000,-0.006200131960213184,0.006549281533807516,-1.4172663213685155e-05,0.0016109837451949716
7,70000,-0.006159834563732147,0.004666216671466827,6.776619557058439e-06,0.0013772923266515136
8,80000,-0.00488327257335186,0.00881386548280716,7.814286800567061e-05,0.0015660260105505586
9,90000,-0.007849033921957016,0.006299486383795738,-4.336125130066648e-07,0.0015983732882887125
10,100000,-0.0072222184389829636,0.01108919270336628,0.00011326711683068424,0.0018811823101714253
