cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,system_dpst
5,0.0005661239861201319,0.00804323550189781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.683932404812907e-05,0.0
6,0.0,0.0,0.0,0.0,3.327777601786719e-05,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0002504387298366704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0003236140203098371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.00038534005605049125,0.0001328796503160383,0.0025008603943240913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,9.268355609543671e-05,0.0,0.001552962880833802,0.00024394487071841152,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0014965570616843813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0005619910998481103,0.0,0.00014420386446408563,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0003165545545135513,1.876925060714041e-05,0.0,0.0,0.0,0.00017520734768451343,0.0,0.0,0.0,0.0
33,8.491859791801979e-05,0.0,6.145683827116771e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,7.024888748101379e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0010417549932761946,0.0,0.0,1.358287891129279e-05,0.0,0.0,0.0,0.0,0.0,0.0
49,9.31273957167617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,8.304978144752393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004949133766922253,0.0,0.0,0.0
57,0.0,3.7946476344852294e-05,0.0006813404069954864,9.862943802334337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.00018865048641136705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,3.3053813016114525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
