epoch,step,min,max,mean,std
1,10000,-0.3349393904209137,0.18723554909229279,0.0015209111152216792,0.02891867235302925
2,20000,-0.4800713062286377,0.14076252281665802,-0.0017195496475324035,0.0345245860517025
3,30000,-0.19257143139839172,0.1162140741944313,-0.00030620774487033486,0.015258890576660633
4,40000,-0.24710732698440552,0.11297233402729034,-0.0004926022957079113,0.015042787417769432
5,50000,-0.1704692244529724,0.15050341188907623,0.0009081608150154352,0.012272278778254986
6,60000,-0.22389835119247437,0.15178123116493225,-7.690184702369152e-07,0.013214963488280773
7,70000,-0.1827615350484848,0.09026148915290833,4.212118085433758e-07,0.011901721358299255
8,80000,-0.2561091184616089,0.08141519874334335,-0.0007288706838153303,0.01597513072192669
9,90000,-0.16889022290706635,0.07024679332971573,-0.000701966171618551,0.015912260860204697
10,100000,-0.15904444456100464,0.06291602551937103,-0.0010348240612074733,0.01546681858599186
11,110000,-0.13264994323253632,0.06252531707286835,0.00029978540260344744,0.012896212749183178
12,120000,-0.1177632212638855,0.0818527489900589,0.000231295038247481,0.012237069196999073
13,130000,-0.2079721987247467,0.06314949691295624,-0.0003342142445035279,0.016001105308532715
14,140000,-0.1064838096499443,0.06267761439085007,0.0007210636395029724,0.01036176085472107
15,150000,-0.21804188191890717,0.1514190435409546,0.00010096573532791808,0.01578335650265217
16,160000,-0.3714037537574768,0.1810062825679779,-0.001281136181205511,0.021676644682884216
17,170000,-0.2537570595741272,0.07933098077774048,-0.0002794562024064362,0.016392812132835388
18,180000,-0.13095426559448242,0.08611292392015457,0.0006318030646070838,0.012894164770841599
19,190000,-0.2059621512889862,0.1711241751909256,-0.00012303855328354985,0.0187540240585804
20,200000,-0.20298099517822266,0.10245966911315918,0.000695106980856508,0.016653578728437424
