epoch,step,min,max,mean,std
1,10000,-0.006572302430868149,0.00336181721650064,-9.057416173163801e-05,0.0011365440441295505
2,20000,-0.018667049705982208,0.013583853840827942,-0.00022950104903429747,0.003323214827105403
3,30000,-0.003557387040928006,0.00893021933734417,0.00014225143240764737,0.0015566041693091393
4,40000,-0.01374194584786892,0.009719169698655605,-0.00016804685583338141,0.0021802582778036594
5,50000,-0.013733703643083572,0.01783611625432968,-1.7410966393072158e-05,0.0031442358158528805
6,60000,-0.007842792198061943,0.008905009366571903,7.484763045795262e-05,0.00200976082123816
7,70000,-0.014413410797715187,0.0073991259559988976,-0.00021401580306701362,0.002255405066534877
8,80000,-0.018842650577425957,0.011002430692315102,-0.00011672121763695031,0.0030446345917880535
9,90000,-0.011567778885364532,0.018045788630843163,0.00019743229495361447,0.003352516330778599
10,100000,-0.021470751613378525,0.017836086452007294,9.839009726420045e-05,0.004261086694896221
11,110000,-0.018020452931523323,0.013298459351062775,1.6398029401898384e-05,0.0033156664576381445
12,120000,-0.016035020351409912,0.022424226626753807,2.039908940787427e-05,0.003333057276904583
13,130000,-0.01703701540827751,0.019276175647974014,-0.0002272663259645924,0.0038566722068935633
14,140000,-0.014753321185708046,0.022020898759365082,-0.00016124066314660013,0.0028933347202837467
15,150000,-0.01995071768760681,0.02892462909221649,0.0002973639057017863,0.005064214114099741
16,160000,-0.018986467272043228,0.021991293877363205,-1.6343547031283379e-06,0.005263996310532093
17,170000,-0.019058359786868095,0.022457899525761604,-0.0002895418438129127,0.0046922555193305016
18,180000,-0.01779002510011196,0.020660381764173508,3.131677658529952e-05,0.004080905579030514
19,190000,-0.023306837305426598,0.02474633976817131,-0.00010116236808244139,0.004930389113724232
20,200000,-0.05052947998046875,0.037983063608407974,-7.144897244870663e-05,0.006307651754468679
