epoch,step,min,max,mean,std
1,10000,-0.02238699421286583,0.0283314548432827,0.00015525231719948351,0.005483508110046387
2,20000,-0.017713451758027077,0.01547215599566698,-0.00025846564676612616,0.004023516084998846
3,30000,-0.009761760011315346,0.011318453587591648,0.00022979910136200488,0.002839031396433711
4,40000,-0.014748536981642246,0.016810880973935127,-0.00013316232070792466,0.0037073788698762655
5,50000,-0.015917111188173294,0.019633976742625237,-0.00017514024511910975,0.003612444270402193
