iter	Passed	Remaining
474	724	801
475	726	799
476	727	797
477	729	796
478	731	795
479	732	793
480	734	792
481	735	790
482	737	788
483	738	787
484	740	785
485	741	784
486	742	782
487	744	780
488	745	779
489	746	777
490	748	775
491	749	774
492	751	772
493	752	770
494	753	769
495	755	767
496	756	765
497	758	764
498	759	762
499	760	760
500	762	759
501	763	757
502	765	755
503	766	754
504	767	752
505	769	751
506	770	749
507	772	748
508	774	746
509	775	745
510	776	743
511	778	741
512	779	740
513	781	738
514	782	737
515	784	735
516	785	733
517	787	732
518	789	731
519	790	729
520	791	728
521	793	726
522	794	724
523	796	723
524	797	721
525	798	719
526	800	718
527	801	716
528	803	715
529	804	713
530	805	711
531	807	710
532	808	708
533	809	706
534	811	705
535	812	703
536	814	701
537	815	700
538	816	698
539	818	697
540	819	695
541	821	693
542	822	692
543	823	690
544	825	688
545	826	687
546	827	685
547	829	684
548	830	682
549	832	680
550	833	679
551	834	677
552	836	675
553	837	674
554	839	672
555	840	671
556	841	669
557	843	667
558	844	666
559	846	664
560	847	663
561	849	661
562	850	660
563	852	658
564	853	657
565	854	655
566	856	653
567	857	652
568	858	650
569	860	649
570	861	647
571	863	645
572	864	644
573	865	642
574	867	641
575	868	639
576	870	637
577	871	636
578	872	634
579	874	633
580	875	631
581	877	629
582	878	628
583	879	626
584	881	625
585	882	623
586	884	622
587	885	620
588	886	618
589	888	617
590	889	615
591	891	614
592	892	612
593	893	611
594	895	609
595	896	607
596	897	606
597	899	604
598	900	602
599	901	601
600	903	599
601	904	598
602	906	596
603	907	595
604	909	593
605	910	592
606	912	590
607	913	589
608	915	587
609	916	586
610	918	584
611	919	583
612	921	581
613	922	579
614	923	578
615	925	576
616	926	575
617	928	573
618	929	572
619	930	570
620	932	569
621	933	567
622	935	565
623	936	564
624	937	562
625	939	561
626	940	559
627	941	557
628	943	556
629	944	554
630	946	553
631	947	551
632	949	550
633	950	548
634	952	547
635	953	545
636	954	544
637	956	542
638	957	541
639	959	539
640	960	537
641	961	536
642	963	534
643	964	533
644	966	531
645	967	530
646	969	528
647	970	527
648	971	525
649	973	524
650	974	522
651	976	520
652	977	519
653	978	517
654	980	516
655	981	514
656	983	513
657	984	511
658	985	510
659	987	508
660	988	507
661	990	505
662	991	504
663	993	502
664	994	500
665	995	499
666	997	497
667	998	496
668	999	494
669	1001	493
670	1002	491
671	1004	490
672	1005	488
673	1006	486
674	1008	485
675	1009	483
676	1010	482
677	1012	480
678	1013	479
679	1015	477
680	1016	476
681	1017	474
682	1019	473
683	1020	471
684	1022	469
685	1023	468
686	1024	466
687	1026	465
688	1027	463
689	1029	462
690	1030	460
691	1031	459
692	1033	457
693	1034	456
694	1036	454
695	1037	453
696	1038	451
697	1040	450
698	1041	448
699	1042	446
700	1044	445
701	1045	443
702	1047	442
703	1048	440
704	1049	439
705	1051	437
706	1052	436
707	1054	434
708	1055	433
709	1057	431
710	1058	430
711	1060	428
712	1061	427
713	1062	425
714	1064	424
715	1065	422
716	1067	421
717	1068	419
718	1069	418
719	1071	416
720	1072	415
721	1074	413
722	1075	412
723	1076	410
724	1078	409
725	1079	407
726	1081	406
727	1082	404
728	1084	402
729	1085	401
730	1086	399
731	1088	398
732	1089	396
733	1090	395
734	1092	393
735	1093	392
736	1095	390
737	1096	389
738	1097	387
739	1099	386
740	1100	384
741	1101	383
742	1103	381
743	1104	380
744	1106	378
745	1107	377
746	1108	375
747	1110	374
748	1111	372
749	1113	371
750	1114	369
751	1116	368
752	1117	366
753	1118	365
754	1120	363
755	1121	362
756	1123	360
757	1124	359
758	1125	357
759	1127	356
760	1128	354
761	1130	353
