epoch,step,min,max,mean,std
1,10000,-0.3188557028770447,0.13599109649658203,0.0011826868867501616,0.03226809203624725
2,20000,-0.2575768530368805,0.16046100854873657,-0.003792546922340989,0.047640468925237656
3,30000,-0.2182139903306961,0.21617047488689423,0.0033498520497232676,0.04995923861861229
4,40000,-0.4486159682273865,0.22216735780239105,-0.0055273487232625484,0.06152957305312157
5,50000,-0.7530232667922974,0.2749367654323578,0.0005634864210151136,0.09268905967473984
6,60000,-0.5778031349182129,0.269692987203598,0.00031203438993543386,0.06846855580806732
7,70000,-0.4907836318016052,0.2804502844810486,0.0012457258999347687,0.06073211878538132
8,80000,-0.5661110281944275,0.2640601098537445,0.001439161249436438,0.07615010440349579
9,90000,-0.6399818658828735,0.4035329818725586,0.0029730878304690123,0.06934577226638794
10,100000,-0.4556809067726135,0.26529574394226074,-0.002837150590494275,0.07018665969371796
