epoch,step,min,max,mean,std
1,10000,-0.00509891239926219,0.005971198435872793,5.715208681067452e-05,0.0012637205654755235
2,20000,-0.0038619539700448513,0.003389280289411545,-1.1367164916009642e-05,0.0010067312978208065
3,30000,-0.0028373717796057463,0.003046262077987194,1.1387933227524627e-05,0.0007522100349888206
4,40000,-0.001166880363598466,0.0014486259315162897,-1.4094143807596993e-05,0.00033695928868837655
5,50000,-0.0006778291426599026,0.0007118511712178588,-2.1391469999798574e-06,0.00017991315689869225
6,60000,-0.0008983265142887831,0.0010114755714312196,6.174431746330811e-06,0.0002426411083433777
7,70000,-0.00040062947664409876,0.0007559260120615363,-2.600363359306357e-06,0.00015819614054635167
8,80000,-0.000573314493522048,0.00038664424209855497,5.510485152626643e-07,9.731235331855714e-05
9,90000,-0.0006941245519556105,0.0009069846710190177,4.973186150891706e-06,0.00017361470963805914
10,100000,-0.0006277950014919043,0.0004803855554200709,-1.094996378014912e-06,0.0001404140202794224
11,110000,-0.0017942236736416817,0.000931649818085134,-8.056453225435689e-06,0.000276209379080683
12,120000,-0.00041052832966670394,0.0011070757173001766,6.4005330386862624e-06,0.00017595148528926075
13,130000,-0.0005699715111404657,0.0009600241319276392,2.1358951016736683e-06,0.00016769561625551432
14,140000,-0.00018043231102637947,0.000418871728470549,1.3917051546741277e-06,6.84223705320619e-05
15,150000,-0.0004650147457141429,0.00033948596683330834,-5.321681783243548e-06,0.00011437159264460206
16,160000,-0.0008044687565416098,0.0005440873792394996,-1.946308202604996e-06,0.0001416675077052787
17,170000,-0.0004673012881539762,0.0005976627580821514,3.4896809211204527e-06,0.00013150162703823298
18,180000,-0.0006270096055231988,0.0003303122939541936,-1.6950841654761462e-06,0.0001075287364074029
19,190000,-0.0001944799441844225,0.0004977013450115919,3.015442189280293e-07,7.681715214857832e-05
20,200000,-0.0005719136097468436,0.0004745849291794002,2.851947556337109e-06,0.0001190872717415914
