epoch,step,min,max,mean,std
1,10000,-0.18108932673931122,0.1629352569580078,0.00016811888781376183,0.01672319881618023
2,20000,-0.19023321568965912,0.11827895045280457,-3.805513551924378e-05,0.009515151381492615
3,30000,-0.06972717493772507,0.05474982038140297,5.418457294581458e-05,0.004446288570761681
4,40000,-0.16018208861351013,0.08786561340093613,7.264554733410478e-05,0.004821931477636099
5,50000,-0.029581855982542038,0.037035539746284485,5.951573621132411e-05,0.001697914325632155
6,60000,-0.034343499690294266,0.041388340294361115,-2.538973967602942e-05,0.001503088977187872
7,70000,-0.01942039653658867,0.005004560574889183,-3.368592297192663e-05,0.0005896572256460786
8,80000,-0.0016787764616310596,0.030677789822220802,5.3432086133398116e-05,0.0008844865951687098
9,90000,-0.013428768143057823,0.0730649009346962,0.0001035086897900328,0.0019522132351994514
10,100000,-0.02484847418963909,0.011380799114704132,-9.158810826193076e-06,0.0006805420853197575
11,110000,-0.04635929316282272,0.035325534641742706,1.6679252439644188e-05,0.0014189186040312052
12,120000,-0.026944288983941078,0.020215190947055817,1.1125546734547243e-05,0.0008592570666223764
13,130000,-0.01438811607658863,0.02899940311908722,1.0923664376605302e-05,0.0007555087795481086
14,140000,-0.011945290490984917,0.02400072291493416,2.2051432097214274e-05,0.0006962292245589197
15,150000,-0.019610008224844933,0.04753149300813675,6.880579894641414e-05,0.0014554251683875918
16,160000,-0.00887423474341631,0.03862791508436203,3.153031866531819e-05,0.0008807055419310927
17,170000,-0.012069757096469402,0.04456731677055359,5.095427331980318e-05,0.0011729842517524958
18,180000,-0.0019761258736252785,0.03293086588382721,5.830090958625078e-05,0.0010022877249866724
19,190000,-0.004411336500197649,0.024612506851553917,3.600254422053695e-05,0.0006964989588595927
20,200000,-0.0630316361784935,0.021839700639247894,-4.4135402276879176e-05,0.0016465133521705866
